,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
SZÓ ,SZÓFAJ ,TOLDALÉKOK ,HOLLAND ,F 
alkohol ,fn ,"~ok, ~t, ~ja ",alcohol ,5
áll vkinek ,i ,"~ni, ~t, ~j ",iemand staat iets ,5
Jól áll neked ez a póló. ,,,Dit T-shirt staat je goed. ,
alma ,fn ,"~’k, ~’t, ~’ja ",appel ,5
ami ,e ,,wat ,5
"Mi van az országában, ami nincs a",,,Wat heeft uw land wat op de lijst niet voorkomt? ,
listán? ,,,,
ár ,fn ,"~ak, ~at, ~a ",prijs ,5
kedvező árak ,,,aanbiedingen ,
ásványvíz ,fn ,"~vizek, ~vizet, ~vize ",mineraalwater ,5
bab ,fn ,"~ok, ~ot, ~ja ",bonen ,5
bableves ,fn ,"~ek, ~t, ~e ",bonensoep ,5
banán ,fn ,"~ok, ~t, ~ja ",banana ,5
bankkártya ,fn ,"~’k, ~’t, ~’ja ",bankpas ,5
Tudok bankkártyával fizetni? ,,,Kan ik met bankpas betalen? (Mag ik pinnen?) ,
barackpálinka ,fn ,"~’k, ~’t, ~’ja ",perzikschnaps ,5
barna ,mn ,"~'bb, ~'n ",bruin ,5
baromfihús ,fn ,"~ok, ~t, ~a ",gevogelte ,5
bifsztek ,fn ,"~ek, ~et, ~e ",biefstuk ,5
bikavér (bor) ,fn ,"~ek, ~t, ~e ",stierenbloed (naam van een wijnsoort) ,5
biobolt ,fn ,"~ok, ~ot, ~ja ","biowinkel, natuurvoedingswinkel ",5
A bioboltban vásárolok. ,,,Ik doe mijn boodschappen in de biowinkel. ,
bioélelmiszer ,fn ,"~ek, ~t, ~e ",biologische levensmiddelen ,5
Csak bioélelmiszereket veszek. ,,,Ik koop alleen biologische levensmiddelen. ,
bioétel ,fn ,"~ek, ~t, ~e ",biologisch voedsel ,5
biológia ,fn ,"~’t, ~’ja ",biologie ,5
bisztró ,fn ,"~k, ~t, ~ja ",bistro ,5
blokk ,fn ,"~ok, ~ot, ~ja ",kassabon ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,1
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
"Tessék, a blokk. ",,,"Alstublieft, uw kassabon. ",
blúz ,fn ,"~ok, ~t, ~a ",blouse ,5
bor ,fn ,"~ok, ~t, ~a ",wijn ,5
Bort iszom. ,,,Ik drink wijn. ,
bordó(vörös) ,mn ,"~bb, ~n ",bordeaux(rood) ,5
borospohár ,fn ,"~poharak, ~poharat,",wijnglas ,5
,,~pohara ,,
borravaló ,fn ,"~k, ~t, ~ja ",fooi ,5
A pincér 2 euró borravalót kap. ,,,De ober krijgt 2 euro fooi. ,
bors ,fn ,"~ok, ~ot, ~a ",peper ,5
borstartó ,fn ,"~k, ~t, ~ja ",peperstrooier ,5
bő ,mn ,"bővebb, bőven ",wijd ,5
Túl bő a szoknya. ,,,De rok is te wijd. ,
burgonya (= krumpli) ,fn ,"~’k, ~’t, ~’ja ",aardappel ,5
cigaretta ,fn ,"~’k, ~’t, ~’ja ",sigaret ,5
cipő ,fn ,"~k, ~t, ~je ",schoen ,5
Cipőt szeretnék venni. ,,,Ik wil schoenen kopen. ,
cipőbolt ,fn ,"~ok, ~ot, ~a ",schoenenwinkel ,5
centiliter (= cl) ,fn ,"~ek, ~t, ~(j)e ",centiliter (= cl) ,5
cukkini ,fn ,"~k, ~t, ~je ",courgette ,5
cukor ,fn ,"cukrok, cukrot, cukra ",suiker ,5
Cukrot kell venni. ,,,Er moet suiker worden gekocht. ,
csapolt ,mn ,"~abb, ~an ",getapt ,5
csapolt sör ,,,getapt bier ,
